"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"
"460"	14764	1476.3	2474.354	2060.353	-28.696	845
"461"	14766	1476.5	894.295	-892.111	22.242	846
"462"	14866	1486.5	2293.716	2002.843	-37.015	847
"463"	15054	1505.3	3237.443	1973.767	-25.099	849
"464"	15067	1506.6	-2456.102	8087.57	-174.582	850
"465"	15123	1512.2	2427.954	2125.951	69.827	852
"466"	15223	1522.2	2596.319	1945.335	-37.454	853
"467"	15282	1528.1	2591.303	1951.404	-43.411	854
"468"	15827	1582.6	-3539.362	6958.311	-147.21	855
"469"	15841	1584	2585.586	1945.581	-40.384	856
"470"	15984	1598.3	2993.521	1245.445	-29.221	857
"471"	16157	1615.6	3385.48	1439.374	-25.58	858
"472"	16161	1616	2589.262	1986.027	-42.275	859
"473"	16164	1616.3	-3480.459	7089.787	-153.794	860
"474"	16164	1616.3	2581.572	1963.298	-39.186	861
"475"	16183	1618.2	3435.594	1478.279	-23.644	862
"476"	16184	1618.3	4444.183	3653.709	-81.542	863
"477"	16189	1618.8	4440.432	3661.965	-81.519	864
"478"	16211	1621	3502.454	1519.1	-26.503	865
"479"	16250	1624.9	4402.46	3757.209	-77.842	866
"480"	16255	1625.4	4398.93	3761.92	-83.531	867
"481"	16259	1625.8	3618.444	1577.509	-28.747	868
"482"	16260	1625.9	4393.944	3770.756	-84.084	869
"483"	16265	1626.4	4389.866	3776.472	-77.86	870
"484"	16281	1628	4378.586	3806.805	-78.988	871
"485"	16283	1628.2	3641.204	1587.019	-38.338	872
"486"	16283	1628.2	3649.528	1594.165	-25.558	873
"487"	16308	1630.7	4367.858	3856.719	-86.251	874
