"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"	"distance"
"376"	11200	1119.9	-770.171	2138.568	-39.903	441	1.438
"377"	11205	1120.4	3273.072	1930.615	-42.5	442	0.032
"378"	11210	1120.9	3697.205	5013.999	-96.898	443	5.765
"379"	11291	1129	3620.746	5193.576	-98.417	444	3.974
"380"	11313	1131.2	-826.868	2142.154	-31.272	445	2.342
"381"	11322	1132.1	-850.575	2147.896	-32.294	446	2.857
"382"	11340	1133.9	3584.256	5291.774	-99.076	447	7.654
"383"	11360	1135.9	3547.766	5346.124	-107.907	448	9.713
"384"	11367	1136.6	3548.935	5372.703	-100.172	449	1.295
"385"	11390	1138.9	3531.164	5426.097	-100.065	450	0.88
"386"	11404	1140.3	3520.542	5446.109	-100.469	451	11.979
"387"	11415	1141.4	3496.619	5451.768	-108.559	452	3.294
"388"	11492	1149.1	-1210.957	2085.067	-31.268	453	4.302
"389"	11535	1153.4	3272.669	1930.447	-42.319	454	0.109
"390"	11587	1158.6	3272.307	1930.009	-42.779	455	0.869
"391"	11634	1163.3	-1504.444	1997.02	-33.513	456	2.314
"392"	11665	1166.4	-1558.259	1970.145	-31.202	457	3.946
"393"	11692	1169.1	-1607.267	1937.815	-30.581	458	4.394
"394"	11845	1184.4	-1906.192	1806.432	-34.773	459	2.34
"395"	11854	1185.3	3273.161	1930.66	-42.416	460	0.14
"396"	11857	1185.6	-1935.287	1793.582	-25.376	461	8.913
"397"	11862	1186.1	-1945.063	1794.628	-25.52	462	4.622
"398"	11871	1187	-1964.2	1790.047	-25.125	463	0.583
"399"	11887	1188.6	-1988.413	1771.445	-24.649	464	2.742
"400"	11895	1189.4	-2003.725	1766.253	-23.542	465	2.503
"401"	11935	1193.4	-2062.226	1739.901	-23.682	466	1.892
"402"	11955	1195.4	-2077.197	1712.203	-30.547	467	8.226
"403"	12003	1200.2	-2174.969	1691.27	-23.679	468	4.282
"404"	12105	1210.4	-2284.387	1520.717	-27.493	469	2.998
"405"	12120	1211.9	-2313.091	1502.268	-20.946	470	4.641
"406"	12164	1216.3	-2369.754	1428.038	-19.198	471	1.892
"407"	12166	1216.5	2836.419	7268.621	-144.08	472	1.429
"408"	12176	1217.5	-2386.765	1404.423	-26.095	473	5.278
"409"	12194	1219.3	-2409.093	1365.261	-16.263	474	3.113
"410"	12219	1221.8	-2427.663	1313.288	-16.664	475	6.807
"411"	12239	1223.8	-2428.787	1273.098	-21.054	476	2.47
"412"	12267	1226.6	3273.36	1930.675	-42.075	477	0.096
"413"	12272	1227.1	-2464.526	1204.416	-17.816	478	5.671
"414"	12282	1228.1	-2477.291	1187.575	-9.98	479	5.481
"415"	12308	1230.7	-2497.607	1137.844	-4.735	480	2.154
"416"	12334	1233.3	-2516.961	1079.363	-4.012	481	6.672
"417"	12349	1234.8	-2531.318	1050.744	-7.278	482	0.508
"418"	12363	1236.2	-2549.492	1024.505	-7.075	483	3.689
"419"	12371	1237	-2548.537	1009.71	-14.114	484	3.58
"420"	12395	1239.4	-2548.609	967.953	-3.902	485	0.892
"421"	12424	1242.3	-2582.389	912.173	-12.818	486	3.304
"422"	12439	1243.8	3273.165	1930.696	-41.981	487	0.061
"423"	12478	1247.7	-2619.001	837.987	5.239	488	0.947
"424"	12545	1254.4	-2645.511	724.431	1.773	489	7.828
"425"	12550	1254.9	3273.099	1930.519	-42.335	490	0.217
"426"	12620	1261.9	-2658.091	566.254	3.571	491	7.742
"427"	12635	1263.4	-2673.52	532.855	12.397	492	2.351
"428"	12735	1273.4	-2662.373	332.728	15.12	493	3.062
"429"	12756	1275.5	-2672.559	300.642	14.967	494	0.657
"430"	12794	1279.3	1660.274	8244.229	-152.079	495	5.504
"431"	12817	1281.6	1617.579	8247.123	-172.449	496	16.925
"432"	12858	1285.7	1502.716	8258.64	-162.172	497	8.976
"433"	12881	1288	1433.431	8257.65	-155.1	498	2.497
